batter,stand,if_fielding_alignment,of_fielding_alignment,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,wOBA,wOBA_Denom,ISO,batter_name,if_fielding_depth,of_fielding_depth
444482,L,Strategic,Standard,"Nelson,Ryne","Moreno,Gabriel","Walker,Christian","Newman,Kevin","Suárez,Eugenio","Perdomo,Geraldo","Mccarthy,Jake","Thomas,Alek","Carroll,Corbin",0.0,1,0,"Peralta,David",0,1
630105,L,Infield shade,Standard,"Nelson,Ryne","Moreno,Gabriel","Walker,Christian","Newman,Kevin","Suárez,Eugenio","Perdomo,Geraldo","Mccarthy,Jake","Thomas,Alek","Carroll,Corbin",0.0,1,0,"Cronenworth,Jake",0,1
665487,R,Standard,Standard,"Nelson,Ryne","Moreno,Gabriel","Walker,Christian","Newman,Kevin","Suárez,Eugenio","Perdomo,Geraldo","Mccarthy,Jake","Thomas,Alek","Carroll,Corbin",0.0,1,0,"Tatís,Fernando",1,1
664983,L,Strategic,Standard,"Matsui,Yuki","Díaz,Elías","Solano,Donovan","Cronenworth,Jake","Wade,Tyler","Ahmed,Nick","Peralta,David","Merrill,Jackson","Lockridge,Brandon",0.0,1,0,"Mccarthy,Jake",0,1
553993,R,Standard,Standard,"Waldron,Matt","Díaz,Elías","Solano,Donovan","Cronenworth,Jake","Wade,Tyler","Ahmed,Nick","Peralta,David","Merrill,Jackson","Lockridge,Brandon",0.9,1,0,"Suárez,Eugenio",1,1
545341,R,Standard,Standard,"Waldron,Matt","Díaz,Elías","Solano,Donovan","Cronenworth,Jake","Wade,Tyler","Ahmed,Nick","Peralta,David","Merrill,Jackson","Lockridge,Brandon",2.0,1,3,"Grichuk,Randal",1,1
572233,R,Standard,Standard,"Waldron,Matt","Díaz,Elías","Solano,Donovan","Cronenworth,Jake","Wade,Tyler","Ahmed,Nick","Peralta,David","Merrill,Jackson","Lockridge,Brandon",0.0,1,0,"Walker,Christian",1,1
666971,R,Standard,Standard,"Waldron,Matt","Díaz,Elías","Solano,Donovan","Cronenworth,Jake","Wade,Tyler","Ahmed,Nick","Peralta,David","Merrill,Jackson","Lockridge,Brandon",0.9,1,0,"Gurriel,Lourdes",1,1
682998,L,Infield shade,Standard,"Waldron,Matt","Díaz,Elías","Solano,Donovan","Cronenworth,Jake","Wade,Tyler","Ahmed,Nick","Peralta,David","Merrill,Jackson","Lockridge,Brandon",0.0,1,0,"Carroll,Corbin",0,1
456781,R,Strategic,Standard,"Nelson,Ryne","Moreno,Gabriel","Walker,Christian","Marte,Ketel","Suárez,Eugenio","Perdomo,Geraldo","Gurriel,Lourdes","Mccarthy,Jake","Carroll,Corbin",0.0,1,0,"Solano,Donovan",0,1
