name_fielder,position,start_dist_st_R,start_ang_st_R,start_dist_sh_R,start_ang_sh_R,start_dist_st_L,start_ang_st_L,start_dist_sh_L,start_ang_sh_L
abramscj,SS,147.0,-18.5,146.0,-20.0,152.0,-7.5,152.0,-6.0
abreujose,1B,112.0,28.5,112.0,28.0,118.0,37.5,120.0,37.5
abreuwilyer,CF,328.0,0.0,323.3076923076923,0.5865384615384616,328.0,1.0,331.0,2.0
abreuwilyer,LF,302.5,-28.0,302.5125,-26.669444444444444,293.0,-29.0,293.0,-29.0
abreuwilyer,RF,294.0,28.5,292.0,28.0,300.0,28.0,300.0,28.0
acunaronald,RF,290.0,29.5,294.0,29.0,303.5,26.0,304.5,26.0
acunaluisangel,2B,153.0,6.0,153.72596153846155,3.121794871794872,148.19832402234636,18.90875232774674,147.67110453648917,20.243096646942803
acunaluisangel,SS,149.0,-18.0,147.2686274509804,-20.26078431372549,153.0,-8.0,154.0,-4.0
adameswilly,SS,147.5,-19.0,144.5,-23.5,151.5,-5.5,152.0,-4.5
adamsjordyn,CF,324.5,1.5,324.0,0.0,324.0,-1.0,326.5,-2.0
adamsjordyn,LF,299.0,-25.0,302.5125,-26.669444444444444,289.6809734513274,-28.84188790560472,292.11885521885523,-28.30252525252525
adamsjordyn,RF,291.5,28.0,293.0,27.0,298.0,25.0,300.0,26.0
adelljo,CF,325.0,1.5,322.0,0.0,326.0,-2.0,325.0,-2.0
adelljo,LF,301.0,-26.0,302.5125,-26.669444444444444,289.6809734513274,-28.84188790560472,292.11885521885523,-28.30252525252525
adelljo,RF,290.5,28.0,292.0,27.0,302.0,25.5,300.5,26.0
adrianzaehire,2B,153.0,8.0,153.72596153846155,3.121794871794872,148.19832402234636,18.90875232774674,147.67110453648917,20.243096646942803
adrianzaehire,3B,113.0,-34.0,113.0,-36.0,115.78947368421052,-26.9859649122807,131.24347389558233,-22.40863453815261
adrianzaehire,SS,147.0,-18.0,147.2686274509804,-20.26078431372549,152.54887218045113,-6.215538847117794,153.35215053763443,-3.888440860215054
aguilarjesus,1B,111.0,30.0,111.71960784313724,28.4078431372549,123.0,38.0,123.0,38.0
ahmednick,2B,154.0,7.0,153.72596153846155,3.121794871794872,148.19832402234636,18.90875232774674,147.67110453648917,20.243096646942803
ahmednick,SS,148.5,-19.75,148.0,-21.0,153.33333333333334,-6.666666666666667,154.33333333333334,-5.0
albertohanser,2B,153.0,7.0,153.72596153846155,3.121794871794872,148.0,19.0,147.67110453648917,20.243096646942803
albertohanser,3B,118.0,-36.0,121.58928571428572,-37.36607142857143,117.0,-27.0,120.0,-24.0
albiesozzie,2B,153.0,6.0,154.0,3.0,148.0,19.0,148.0,19.0
alcantarakevin,RF,286.0,29.0,292.3405172413793,27.46120689655172,288.0,28.0,296.0,28.0
alexanderblaze,2B,151.0,8.0,153.72596153846155,3.121794871794872,147.0,19.0,146.0,21.0
alexanderblaze,3B,115.0,-36.0,121.58928571428572,-37.36607142857143,113.0,-28.0,126.0,-23.0
alexanderblaze,SS,147.0,-18.0,147.2686274509804,-20.26078431372549,151.0,-8.0,152.0,-5.0
alexandercj,3B,123.0,-39.0,121.58928571428572,-37.36607142857143,128.0,-27.0,133.0,-23.0
allengreg,CF,321.0,1.0,323.3076923076923,0.5865384615384616,317.0,-1.0,321.0,-1.0
allengreg,LF,292.0,-26.0,302.5125,-26.669444444444444,289.0,-29.0,286.0,-28.0
allengreg,RF,287.0,26.0,292.3405172413793,27.46120689655172,293.0,25.0,301.07402707275804,26.316412859560067
allennick,3B,122.0,-38.0,121.58928571428572,-37.36607142857143,115.78947368421052,-26.9859649122807,131.24347389558233,-22.40863453815261
allennick,SS,149.5,-19.0,147.2686274509804,-20.26078431372549,154.0,-6.0,154.5,-4.0
almonteabraham,LF,312.0,-27.0,302.5125,-26.669444444444444,289.6809734513274,-28.84188790560472,292.11885521885523,-28.30252525252525
alonsopete,1B,117.0,30.0,120.0,30.0,125.5,37.5,127.5,37.5
altuvejose,2B,153.5,7.0,154.5,2.5,149.5,18.0,149.0,19.5
alujake,2B,151.0,9.0,153.72596153846155,3.121794871794872,147.0,20.0,146.0,23.0
alujake,3B,120.0,-37.0,121.58928571428572,-37.36607142857143,115.0,-28.0,131.24347389558233,-22.40863453815261
alujake,LF,306.0,-27.0,302.5125,-26.669444444444444,298.0,-29.0,304.0,-29.0
alvareznacho,2B,155.0,5.0,155.0,3.0,149.0,19.0,150.0,19.0
alvareznacho,3B,124.0,-39.0,121.58928571428572,-37.36607142857143,115.78947368421052,-26.9859649122807,131.24347389558233,-22.40863453815261
alvarezarmando,1B,115.0,31.0,111.71960784313724,28.4078431372549,122.48407643312102,37.705414012738856,124.10011574074076,38.27430555555556
alvarezarmando,3B,122.0,-36.0,121.58928571428572,-37.36607142857143,120.0,-27.0,124.0,-25.0
alvarezarmando,LF,302.0,-29.0,302.5125,-26.669444444444444,289.6809734513274,-28.84188790560472,292.11885521885523,-28.30252525252525
alvarezeddy,2B,154.0,7.0,153.72596153846155,3.121794871794872,149.0,17.0,149.0,19.0
alvarezeddy,SS,149.0,-18.0,147.2686274509804,-20.26078431372549,152.54887218045113,-6.215538847117794,153.35215053763443,-3.888440860215054
alvarezyordan,LF,303.5,-25.5,303.5,-26.5,289.0,-30.0,293.5,-28.0
amadoradael,2B,152.0,11.0,153.72596153846155,3.121794871794872,149.0,19.0,149.0,19.0
amayajacob,SS,148.5,-18.0,147.2686274509804,-20.26078431372549,152.0,-6.5,153.0,-4.0
andersonbrian,3B,122.0,-36.0,121.58928571428572,-37.36607142857143,112.0,-26.0,119.0,-23.0
andersonbrian,RF,290.5,27.5,292.3405172413793,27.46120689655172,295.0,27.0,295.0,27.0
andersontim,2B,150.0,9.0,153.72596153846155,3.121794871794872,150.0,13.0,147.67110453648917,20.243096646942803
andersontim,SS,147.0,-18.5,146.5,-20.5,151.0,-7.0,152.0,-5.5
andruselvis,2B,154.0,6.0,155.0,3.0,149.0,19.0,148.0,20.0
